Techno,House,Trance,Electro,Hard Trance,Tech House,Acid House,Acid,Synth-pop,Tribal House,Electro House,Italo-Disco,Italodance
Houndstooth,Northcott Music,Allure Muzik,Dureco,Urban,Energy Production s.r.l.,Chiwax,37 Gods,"Capitol Records, Inc.",Silver Pearl Records,Musical Freedom Publishing,Grop Studio,Universal Licensing Music (ULM)
Subject Detroit,Goldcard Sounds,Dance Cave Publishing,Superlux Records,Joyride Music,ARS Productions Belgium,Nerdiboy records,Pulse Vortex,87 Music,Underphone Recordings,Allure Muzik,Jumbo Records S.r.l.,One Way Records
Mindance,Memory Remains,Basart Music Group,TB Mastering,Le Bien Et Le Mal,Sony DADC,Nuphuture Traxx,WéMè Records,A&M Studios,Tanga Records,Cupcake Revolution,Disco Evolution,S Records
Left Hand Path,Lafessé Records,Black Hole Recordings,Flatcat Recordings,MMD Tracks,Material Heads,Tacido,Stay Up Forever,Strawberry Studios,PolyGram,Death Falcon Music,Lipiński Pro-Audio Mastering Studio,X-Energy Records
Illegal Alien Records,Spark Communications,Dance Therapy Productions,Daft Records,Ef.adrine,Superfreq Records,Intrauterin Recordings,Muzak,"Capitol Records Pressing Plant, Jacksonville",Polygram Musik Vertrieb,Not On Label (Tobu Self-released),Thick Record,Vale Music
Cutting & Galvanoforming,Spark Communications Ltd.,WMME Alsdorf,Noise Democracy Records,Phoenix Recordings,halcyon the shop,Bertelsmann Club,Planetarium Switzerland,Receiver Records Limited,"PDO, Germany",Oid Mortales Records,Sandy's Recording Studio,EMI Music Italy S.p.A.
Mumu,Reverb Music Ltd.,Not On Label (Sarah Brightman),Iglo Records,Edition Joyride Songs,23rd Dimension,EMI,New York Haunted,Mindfield Records,Rejoin Records,Invierno,Galaxis,EMI Music Publishing Italia
Megahertz,Cooltempo,Not On Label (ATB),B Connected,Sirup Publishing,Capsule Labs,EMI Electrola,VSR,Mia Mind Music,EMI 100,OMR S.A.,Italo Boot Mix,Privè Studio
Detroit Underground,Chrysalis Records Ltd.,Jive,Monotone,Cuepoint Records,Poker Flat Recordings,ICM,Super 6 Records,Maxwood Music,EMI-Odeon S.A.I.C.,EMI-Odeon S.A.I.C.,P+O Pallas,EMI Italy
Virgo,BMG Records,Noculan Music BV,Tummy Touch,Joker Music,Viva Music,House Music Records,Móatún 7,Damont,Sonopress Brasil,Teltron,Fuzz Dance,PZ Productions
Glowcast Audio Mastering,BMG Ariola,Black Hole Recordings B.V.,Tummy Touch Records Ltd.,MPO,Get Digital Music,Full Pupp,Idiot House,Atlantic,Not On Label (Dj Ajm Self-released),Club Tools,Materiali Sonori,SoundSiege
Isolade,Not On Label,Zomba Records GmbH,Universal,Time Unlimited,Echolette Records,New York Haunted,Good Dance Recordings,Magnet,Routenote,Gun Records,Discotto,Presstore
On The 5th Day,Damont,Noculan Studio 1,Westbury Music,UCMG Germany,Superstition,Lux Rec,Not On Label (The Jaffa Kid Self-Released),Heath Levy Music Co. Inc.,Versatile Records,Flowerz Publishing,Academy Records,Deluxe
Decision Making Theory,Damont Audio Ltd.,Dos Or Die Recordings,Touch Tones Music Ltd.,Edition Attractor,Solid Grooves Records,Structure,Not On Label (Ceephax Acid Crew Self-Released),Manhattan Records,Virus Discos,Gun Records Sprl,EMI Italiana S.p.A.,Internal Affairs Recording Co.
MB Mastering,Tape To Tape,Noculan Publishing,HQ Studio,EMI Songs,Sondos,Tsuba Records,Portobello Library Records,Sen-Saisse-Tional Music,Relative,Remixed Records,Flying Mix,ZYX Music
VinylFuture.com,Episode Records,SonoPress,Tokyo Electro Beat Recordings,Musidisc,U6-Schallplatten,Bomb Trexx,Pulsar Records,Himmican Music,Lump Records,Serious Records,Flash Night Records,Vale Music Spain S.L.
Hotline Recordings,Full Pupp,M.I.K.E. Music Publishing,DM Records,Reset Records,Senior Solution Management,Powerplant Music,Generation Acid,"Record Plant, N.Y.C.",Link Records,Atlantis,Game Over,Project Records
Knotweed Records,Deal Records,5050 Records,Domino,DJ Masters Unmixed,Mono Recordings,Dixon Avenue Basement Jams,Säurebad Records,Air Studios,Nite Grooves,Tektonic Mafia,24th Street Studio,Bit Music
Stockholm LTD,Eye Industries,Creation Records,Armut24,Central Station Pty Ltd,Meleon Music,Dark Entries,Acid Planet,Sterling Sound,Abstract Afro Lounge,The Saifam Group,Studio Immagine,E-Mail Studio
Fuse Music,Azuli Records,No Respect Records,Electro Records,MRA Entertainment,Wagon Repair,Vinyl Underground,Lona Records,Mantel Koppel & Scher,"Hi's Production USA, Inc.",Toptrax,RCA,Home Studio
Subscape,Adhesive,Armada Music Publishing,Electro Transmissions,LNG,Innervisions,Strictly Rhythm,Not On Label (Simplicity! Self-released),"Capitol Industries-EMI, Inc.",Master Cutting Room,Not On Label (Khiflee Self-released),Warner,Out
Mute,Robsoul Recordings,Big Star Records,Spirit Production,SM,Trapez,"Europadisk, Ltd.",Fiery Rabbit Collective,Crunchy Frog,Star Music,Not On Label (Roothouse Self-released),Grammoplast,Lombardoni Edizioni Musicali
Darkmatter Inc.,i! Records,Big Star Records ApS,541,Orbit Records,Relief Records,Radio Kobayashi Records,Möller Records,Rough Trade,Lucky Records,Tunz Tunz Records,Discoggi,New Meal Power
Subsequent Records LTD,Black Fuse,Masterpiece,21 Records,Optimal Media Production,Intoxik,Jackmaster Trax Records,Extreme Ultimate,Rough Trade Records,ЗАО «Инновационные Технологии»,Deeperfect Records,Panarecord S.p.A.,Jab Records
Lamour Records,Be Nice,Netpointers,Polydor,Addiction Digital,Audio Love Records,Europadisk,Cybionic Studios,H.ark Studios,Sm:)e Communications,Parlophone,Rebirth Records,Houzy Records
Vinyl-Distribution,Telstar,MCA Records,Capitol Music,Joyride Recordings,Dirtybird,Strictly Rhythm Publishing,Circuit Record Label,H.ARK Productions,Best Of House Music,EMI Records Ltd.,R.A.N.D. Muzik,Dancework
Indigo Aera,Fosters Ice,Serious Records,Global Net S.r.l.,Freaky Records,Massive Records,Umosia Music,Polybonk,The Cartel,Tribal Net,Mediamotion,PMG Studio,Dancework S.r.l.
Raw Raw Records,Global Cooling,E.Vibe,EMI Music Italy S.p.A.,ADS,Celebrate Records GmbH,Pro T Music,ACID-TRAXX REC.,TELDEC,Black Stone,Distant Waters,B.M.S. Recording Studio,Not On Label
Wavereform,Telstar Records Plc,No Colors,Motel Connection Publishing S.a.s,Rumour Records,Little Idiot,Spank Spank Music,Promo,TELDEC Record Service GmbH,Razor Records,For DJs Only,BMS Records,Optimal Media Production
B.U.G. Records,The Gallery,Skills Recordings,Walla Walla Studio,Damont,Darkroom Dubs,Kick Da Bass Publishing,Clan Analogue,Gaga Musikverlag,RBX Studios,Warner Dance Labels,BERNHARD MIKULSKI Schallplatten-Vertriebs-GmbH,The Saifam Group
F.T.I.,EMI Swindon,Central Energy,Neopren Recordings,Fate Recordings,Soma Quality Recordings,"Strictly Rhythm Records, Inc.",MartwySkurwiel,Bishop Songs,Hothouse Audio,Avex Trax,Many Edizioni Musicali,Arsenic Sound
Hanseatic,Space Kat Records,Nice And Firm,Surprise Records,i-Dance,Goldrush,Megatrend Productions,Acid Orange,Teldec-Press GmbH,Mushroom Music,Avex Marketing,Delta,Vesuvio Studio
FORMAT Records,Heathmans Mastering,Sans & Samling Studios,Analyzed,Toshiba EMI Ltd,BMG Berlin Musik,ineedsuperfreak.fr,"Kunaki, LLC",Major Label,Mushroom Records Pty. Ltd.,Avex Entertainment,Studio Radius,Musidisc
First Digit,Chris Cee Rule Forman Music,Digidance Publishing,Puzzlebox Records,Toxic Records,Goldrush Entertainment,Chicago Vinyl Records,Sleazebox Records,Sony Music,F Communications,House Nation,Edizioni Atlas Music,Strike Force
Integrale Muzique Limited,Creators-Child Music,Mo'Bizz Recordings,Bungalow,Believe Digital,BMG Entertainment,Cooltempo,Joia Magazine,Nexus Towers,Pias,Kult Records,Idea Recording,Dancework Edizioni Musicali
Truesoul,Universal Music,Digidance,Splash Records,Wild! Entertainment,Apartment 1 Berlin,Chrysalis Records Ltd.,Icasea,Sunshine Dance Studios,Creative Vibes,No Refund Tapes,Not On Label,Mattis Studio
Sunnyhills Studio,538 Dance Smash (Hits),Bonnier Music Denmark A/S,Electro City Inc.,Xposé Records,Sonopress,Jobete Music (UK) Ltd.,Future:Komp,Pellerin,Musikvertrieb AG,S.A.I.F.A.M.,Baby Records S.r.l.,Hundred Records
Truesoul Records,Radio 538 BV,Island Records,Magnetic,Sunny Trax,Mercury,Warner Bros. Music Ltd.,Not On Label (Anton Vic Self-released),Freemaison,PIAS France,Elektronica,Hole Record Studio,Network Music Group
Masterpiece,"EDC, Germany",Adrenalin,Telex Something,Gang Go Music,"Polygram Ibérica, S.A.",Done Properly Productions,Head In The Clouds,Full Range Mastering,Charged,Клуб Джотто,Chapulin Edizioni Musicali,Studio Nicolosi
Tronic,FFRR,Sony Music Entertainment (Germany) GmbH,Synsound Studios,WEA Records,Anjunadeep,BZZ Klang,Acid Fever Records,Major Label Ltd.,Vital,Not On Label (DJ Sensor),Abramo Allione Edizioni Musicali S.r.l.,Extrarecord
Kumo,Energy Production s.r.l.,Maxximum Songs,Indisc,Gang Go Music Produktions GmbH,International Deejay Gigolo Records,Pressure Traxx,Endless Loops,Sony Music Entertainment UK Limited,Connected Music Vertrieb GmbH,Not On Label (DJ Timon (2)),Kristal Studio,Warner/Chappell
Counterchange Recordings,New Music Srl,DADC Austria,Roy Music,Warner Music Group Germany Holding GmbH,Four Manufacturing Services,LH Audio Services,A3C0I3D Tracks,Sony Music Entertainment,Soul Seduction,"ЗАО ""Титан Медиа""",Mirto,Pull Edizioni Musicali S.r.l.
Finyl Tweek,Musitech,Wisseloord Studios,Camo Recordings,Threshold Studio,International Dee Jay Gigolo Records & Publishing GmbH & Co KG,DBH Music,23 Frankfurt,Ralph Records,Family Affair Distribution,X-Energy Records,Erre D.J.,Network More Music
Kompakt,Broadcrest Ltd.,Sterling Sound,Lumière Noire,ReWire,Giant Wheel,Lopazz Studios,Junkfood Records,Rainbo Records,Masterdance,Italian Way Music,Chorus Studio,Media Records Nordic
Epm Music,Higher Ground,BNO Publishing,Mute,Liberty One,Intergroove,Pallas,30303,Nice Tone Music,Optimal Media Production,New State Recordings,Golden-Dance-Classics,RTI Music
Sonic Groove,Sony Music,Sony / ATV Music Publishing,Time Warner,Propagation Records,EC Records,Tip Toed Tapes,PHOQ U PHONOGRAMMEN,Stone Agate Music,Frikyiwa é Tamalin Studio,Bugged Out! Presents Suck My Deck,ZYX-MUSIC GMBH,NoiseMaker
Subfile,Sony Music Entertainment (UK) Ltd.,euphonic,Warner Communications Inc.,Nuplastix Distribution,Fortyone Records,Cockatiel Records,Junk Yard Connections,Voice Farm Studio,Koch Records,Bugged Out!,Multi Media Masters,Glass Records
Darknet,Drum Pan Sound,Utopia Records,Mute Records Ltd.,MKM Musikproduktionen,Decks Records,Mighty Force,X-Stream,The Justice Room,Kaos Records,New State Entertainment Ltd.,SAAR Edizioni Musicali,Bit Records
Elektrax Music,DADC Austria,Lightning Records,Elektra Entertainment,Solieb Digital,Dazed & Confused Records,Starpop,Disco-Press,Greg Lee Processing,La Bambolina,Pinnacle Records,Discos Games,Senza Base Records S.n.c.
Prime Direct Distribution,Labello Dance,The Syndrome,WEA Manufacturing Inc.,Aqualoop Records,ZYX Music,"Underground Studios, Chicago",Chrysalis Music Group USA,Reprise Records,Vemsa,Red Light Mastering,"Key Records International, S.A.",Ariola
Semantica Records,C2 Trax,Lightning Records NV,Les Editions Confidentielles,Capitol Records,Opak Records,Dixie Record Pressing Inc.,Analord,EMI Blackwood Music Inc.,"Victoria Ediciones Musicales, S.A.",Fabrik,"Sonic, S.A.",Media Records
Enisslab Studio,Lickin' Records,Fourty-5,Studio Caraïbes,EMI Music Germany GmbH & Co. KG,Alkyle Series,Why Not Records,X0X Track,EMI Music Publishing Ltd.,Traveller,OVERWERK Media Inc.,Superradio Records,Media Records GmbH
Construct Rhythm,Celebrate Life,Connected Music Vertrieb GmbH,Metropolis Studios,Edition Monnotonn,Deejay.de,Next Stop Distribution,Syndrome Audio,Grabbing Hands Music Ltd.,S.M.P.A. Laboratory,Disc Makers,Edizioni Musicali Perchè,Sonopress
Drizzly Music Production GmbH & Co KG,Funkalicious,Not On Label,Raezor Studios,Progressive MV,17 Bis Productions,Vintage Studio,Jack Playmobil,Proof Records,Greyhound Music,F! Records,Out,Media Songs Srl
Edition Drizzly Songs,Alphabet City,Angel,"Digipro, Brussels",EMI Uden,A Tribe Called Kotori,Cutting Room,Jack Playmobil Acid,Boogie-til-Dawn,Expanded Music,Bump,Dureco Benelux,Warner Bros Music Italy Srl
Universal Music Publishing,Power Promotions,One Way Records,Sterling Sound,Hard Trance Europe,Neopren Recordings,Audiodisc AB,Crevette Distribution,"PolyGram Records, Inc.",Disco-Press,Playfool Records,High Fashion Music,Circus Record
Suara,Golf Channel Recordings,Royal Records,Mark Angelo Studios,HTE Recordings,T.U.S.O.M. Recordings,Noise Traxx,Fake Diamond Records,Chappell Music,Foon,Subwax Distribution,Dureco Studio,Discomagic S.p.A.
Suara Music,Bluebird,EMI/Virgin Dance Club,Art & Strategy Studio,Aura Surround Sounds,My Best Friend,Tocasmydrum,Beer On The Rug,"Island Music, Inc.",Import Partners,Optimal Media Production,"""Peter Music"" Records",Evento Musica
GZ Media,Navidu Music,E.M.I. (South Africa) (Pty) Ltd.,Specialty Records Corporation,Trauma Records,Kompakt Distribution,ProForm Series,Chill,Hauppauge Record Manufacturing Ltd.,Cassagrande,RDS Records,Edizioni Televis,East 5 Studio
International Sound Laboratory,BMG UK & Ireland,CDT,Electrix Records,Tidy Two,Plastic City History,Les Points,Alphabasic,S.T.D. Records,Cassagrande Tribal Sessions,Мистерия Звука,Inelco,Palmares Records
Raceway Recordings,Contemporary Scarecrow,ProLogic,Psi49net,BKB Dance Department,Console,Let's Play House,Attack Records,Antler Records,Metropol Records,"ООО ""Мистерия +""",Foon,Venus Distribuzione
Midgar,Rubadub,Sony Music Entertainment Poland Sp. z o.o.,EFA Medien GmbH,bkb dance department GmbH,Thoughtless Music,USA Import Music,Injection Records,Antler,Statrax,disco:wax,Gini Musikverlag,Synkro Studio
Uncage,Northwestside,Karma,Wax Trax! Records,Mondo Records,Utensil Recordings,USA Import Records,Liquid Rec.,I.N.R.I. Records,Detox Recordings,Blam Records,Merak Music,Bit Dance
Nasty Temper Records,Palmares Records,Building Music Publishing,TVT Records,Nothing Records,Liebe*Detail Digital,Säurebad Records,I Love Acid,Spectrum Music,"Detox Recordings, LLC",A.C.V. Edizioni Musicali,Intersong Italiana,Time Network Studios
The Light Records,Twisted America Records,Basic Beat Recordings BV,Audiolith,Edition Fog Area,liebe*detail digital,Toolbox Tunes,Plastic City America,Mercury Records Ltd.,Tribal Kingz,Not On Label (Overwerk Self-released),Elettroformati,Media Songs SRL
AFULAB,Compression Studios,Distri-Plex,Audiolith Records,SST Brüggemann GmbH,MIS Records,Tsundere Violence,Waltzer,Karussell International,Not On Label (Thunderpuss Self-released),Pitchfish Records,RCA Victor,ZYX Mastering
PURE,WNCL Recordings,Basic D'Zine,P.C. Records,BMG Ariola Hungary,Vendetta Records,Dance Arena Productions (DAP),Hot Trax,Entertainment Today Ltd.,Sagliocco Records,"Audiolutions Studio Oberhausen, Germany",Grammofon AB Electra,Time
Droid Recordings,Champion,Sonic One Powermastering,Kavis Music,BMG,Hammarskjöld,Arcade Pony Records,ACV,"PMDC, Germany","Sagliocco Records, S.L.",Neue Welt Musikverlag,Sangy Productions,Contraseña Records
Praxxiz,Definitiva,Nimbus,Archer Record Pressing,VTCD,Boo Records Inc.,DanceNet,Choci's Chewns,EMI,"EMI-Odeon, S.A.",Warner Chappell Music France,Special For DeeJay,Spy Rec
Edition Emma Peel,Not On Label (Ray Charles),Mercury,Astralwerks,Ambiaance Stúdió,LateNightTales,PMI,303parseca,In Zenith,MoBlack Records,Avex Taiwan Inc.,Milano Studio,Melodica
Arcane Patterns,Not On Label (Amira),PolyMedia,Turbina,Harem Records,Still Hot,Wink Inc.,Pressology,Livingroom Studios,"Star 69 Entertainment, Ltd.",Armada Music B.V.,ZYX Mastering,Technology
a.r.t.less,Not On Label (Moony),Level Music,Low Spirit Recordings,ZYX Mastering,Vintage Audio Mastering,Ovum Studios,Postal Code Records,Medley Studio,Trutone Mastering Labs,Tuğrem Müzik,Orchestralmusic,OT DJ Nation
Commute Records,Not On Label (ATFC),PolyGram Group Canada Inc.,Black Label,Detox Records,Turbo,MDS,µHz,Tambourine Studios,Intelagents Productions,Clone 2.1 Records,Five,Pensieri Elettronici Srl
Not On Label (The Prodigy),Not On Label (Armand Van Helden),FSOE Recordings,Ballyhoo Studio Mastering,Tesseract Records,Paradigma Musik,Automatik-Datamatik,Brique Rouge,Disclab,"Sm:)e Communications, Inc.",GRZ Music Records,Five Record S.r.l.,Union Records
Gynoid Limited,4th & Broadway,Andy Prinz Publishing,SST Brüggemann GmbH,Radikal Records,Made To Play,Friends And Family Records,Zodiak Commune,MyOohMeYeah Studios,Warp Records Limited,Universal Licensing Music (ULM),Sugar Music,Edizioni Musicali Camaleonte
Collision,Island Records Ltd.,Offshore Music,SNA,S-Cape Music,Glow,Perspective SDS,Zodiak Commune Records Digital,Frydenlund Studio,Airman Music,Ministry Of Sound Australia Pty. Ltd.,Canale 5 Music S.r.l.,Distribuzioni Flying Records Srl
Fides,Island Records Inc.,Tripomatic Records,Grabbing Hands Music Ltd.,Caroline Distribution,Glasgow Underground,Ovum Recordings,Slask Tapes,Lydlab,Secret Affair Music,EMI Music Group Australasia,Blow Up Disco,Mabra Studio
Acoustic Division,EMI Records,Polydor,Mute Artists Ltd.,Warner/Chappell,Solid Grooves Raw,Housetime Records,Rotraum Music,Cutting Room,Magnetic Music Publishing Ltd.,The Annual,Saar s.r.l.,More Vinyl
Sleaze Records,Mr. Smith Productions,"Universal M & L, Germany",Mini Crunch Records,EMI MFG.,Get Physical Music,Sanlar Publishing,Recycled Plastics,Bel Canto,Irving Music,Uniform Beat,Scacco Matto Studio,dB Dance
30,Blue Crystal Productions,Carlin Music Corp.,Not On Label (Phil Western Self-released),UK44 Records,di:lemma,I Love Acid,Bedroom Compost,EMI Music Norway AS,Radikal Records,Not On Label (Monty Rock),Televis S.r.l.,Do It Yourself
F Communications,Def Mix Productions,Vandit Records,Hall Of Sermon,Radikal Techno,WEA,Krax Records,Virtual Recordings,Nordisc AS,Sony Music Publishing Benelux,Paradigm Records,Abramo Allione,T30
PIAS,Not On Label (Adele (3)),Peak Time Records,Harzfein,Omnisounds,Upon.You,Audiopolis Label Group,Flight Recorder,Not On Label (Kraftwerk),Ratel Music Publishing,Not On Label (Mylo),"Blanco Y Negro Music, S.A.",Iam Smilax
Basic Groove Publishing,Virgin Music Canada,Techno Club,Dominance Records,Dance Opera,Sexy Trash Records,Kromatones,Sin'Misericordia Records,Accession Records,Sony Songs Inc.,Beverly Street Studios,MPO,Hit Mania
Sonopress,Astralwerks,Roadrunner Arcade Music,Gramofonové Závody,i-maxx Records,Mothership,Not On Label (Chris Moss Acid Self-released),Routemaster Records,Indigo,AK Favorite,Southern Fried Records,Durium,Hit Mania Dance
Global Matador,Labels,Roadrunner Arcade Music Belgium NV,It.sounds,Backlash Muzik,BBAT,Glacial Communications,Höga Nord Rekords,Krainegg Studio Austria,Dream Songs,Garage Mix,Mothball Record,Planetworks
Cap-Sounds,EMI Music Canada,DocData Distribution,It Sounds GmbH,Blq Records,Permanent Vacation,Afro Acid Digital,Acid All Stars,Hawaii Studio,Dream Records,Net's Work Records,Duck Record,Hot Tracks
